"pump_station" "line_segment" "commodity" "line"
"KB" "1-KB-DY" "C11" "1"
"KB" "1-KB-DY" "C35" "1"
"MQ" "5-RA-LE" "LSB" "5"
"RA" "5-RA-LE" "UHC" "5"
"IO" "5-PR-RA" "SYN" "5"
"PR" "5-PR-RA" "SW" "5"
"LE" "5-LE-BC" "OSC" "5"
"WB" "5-LE-BC" "SYN" "5"
"RA" "5-RA-LE" "SW" "5"
"LE" "5-LE-BC" "SYN" "5"
"PR" "5-PR-RA" "UHC" "5"
"WB" "5-LE-BC" "UHC" "5"
"MQ" "5-RA-LE" "SYN" "5"
"BC" "5-BC-MV" "SYN" "5"
"NB" "5-BC-MV" "SYN" "5"
"RA" "5-RA-LE" "SYN" "5"
"WB" "5-LE-BC" "SW" "5"
"PR" "5-PR-RA" "SYN" "5"
"NB" "5-BC-MV" "UHC" "5"
"MQ" "5-RA-LE" "UHC" "5"
"BC" "5-BC-MV" "SW" "5"
"LE" "5-LE-BC" "UHC" "5"
"RA" "5-RA-LE" "NGL" "5"
"GC" "5-RA-LE" "LSB" "5"
"WB" "5-LE-BC" "OSC" "5"
"IO" "5-PR-RA" "SW" "5"
"PR" "5-PR-RA" "PSY" "5"
"MQ" "5-RA-LE" "SW" "5"
"NB" "5-BC-MV" "UHL" "5"
"LE" "5-LE-BC" "SSX" "5"
"GC" "5-RA-LE" "SYN" "5"
"SN" "5-PR-RA" "SYN" "5"
"NA" "5-RA-LE" "LSB" "5"
"IO" "5-PR-RA" "UHC" "5"
"LE" "5-LE-BC" "NSA" "5"
"BC" "5-BC-MV" "UHC" "5"
"GC" "5-RA-LE" "UHC" "5"
"NA" "5-RA-LE" "SYN" "5"
"MQ" "5-RA-LE" "NGL" "5"
"LE" "5-LE-BC" "NGL" "5"
"GC" "5-RA-LE" "SW" "5"
"NA" "5-RA-LE" "UHC" "5"
"IO" "5-PR-RA" "PSY" "5"
"NB" "5-BC-MV" "SW" "5"
"BC" "5-BC-MV" "OSC" "5"
"SN" "5-PR-RA" "SW" "5"
"WB" "5-LE-BC" "SSX" "5"
"MA" "5-RA-LE" "LSB" "5"
"GO" "5-PR-RA" "SYN" "5"
"NA" "5-RA-LE" "SW" "5"
"RA" "5-RA-LE" "LSB" "5"
"SN" "5-PR-RA" "UHC" "5"
"GC" "5-RA-LE" "NGL" "5"
"WB" "5-LE-BC" "NSA" "5"
"MA" "5-RA-LE" "SYN" "5"
"WB" "5-LE-BC" "NGL" "5"
"MA" "5-RA-LE" "UHC" "5"
"NA" "5-RA-LE" "NGL" "5"
"IN" "5-RA-LE" "LSB" "5"
"SN" "5-PR-RA" "PSY" "5"
"GO" "5-PR-RA" "SW" "5"
"MA" "5-RA-LE" "SW" "5"
"PR" "5-PR-RA" "SSX" "5"
"BC" "5-BC-MV" "SSX" "5"
"NB" "5-BC-MV" "OSC" "5"
"IR" "5-PR-RA" "SYN" "5"
"IN" "5-RA-LE" "SYN" "5"
"GO" "5-PR-RA" "UHC" "5"
"PR" "5-PR-RA" "NSA" "5"
"BC" "5-BC-MV" "NSA" "5"
"LE" "5-LE-BC" "SW" "5"
"IN" "5-RA-LE" "UHC" "5"
"MA" "5-RA-LE" "NGL" "5"
"PR" "5-PR-RA" "LSB" "5"
"BC" "5-BC-MV" "NGL" "5"
"LE" "5-LE-BC" "LSB" "5"
"IN" "5-RA-LE" "SW" "5"
"GO" "5-PR-RA" "PSY" "5"
"IO" "5-PR-RA" "SSX" "5"
"IR" "5-PR-RA" "SW" "5"
"NB" "5-BC-MV" "SSX" "5"
"IO" "5-PR-RA" "NSA" "5"
"IR" "5-PR-RA" "UHC" "5"
"IN" "5-RA-LE" "NGL" "5"
"NB" "5-BC-MV" "NSA" "5"
"IO" "5-PR-RA" "LSB" "5"
"WB" "5-LE-BC" "LSB" "5"
"NB" "5-BC-MV" "NGL" "5"
"IR" "5-PR-RA" "PSY" "5"
"SN" "5-PR-RA" "SSX" "5"
"SN" "5-PR-RA" "NSA" "5"
"SN" "5-PR-RA" "LSB" "5"
"BC" "5-BC-MV" "LSB" "5"
"GO" "5-PR-RA" "SSX" "5"
"PR" "5-PR-RA" "NGL" "5"
"GO" "5-PR-RA" "NSA" "5"
"GO" "5-PR-RA" "LSB" "5"
"NB" "5-BC-MV" "LSB" "5"
"RA" "5-RA-LE" "PSY" "5"
"IR" "5-PR-RA" "SSX" "5"
"IO" "5-PR-RA" "NGL" "5"
"IR" "5-PR-RA" "NSA" "5"
"IR" "5-PR-RA" "LSB" "5"
"MQ" "5-RA-LE" "PSY" "5"
"SN" "5-PR-RA" "NGL" "5"
"GC" "5-RA-LE" "PSY" "5"
"NA" "5-RA-LE" "PSY" "5"
"RA" "5-RA-LE" "SSX" "5"
"GO" "5-PR-RA" "NGL" "5"
"RA" "5-RA-LE" "NSA" "5"
"MA" "5-RA-LE" "PSY" "5"
"MQ" "5-RA-LE" "SSX" "5"
"IR" "5-PR-RA" "NGL" "5"
"MQ" "5-RA-LE" "NSA" "5"
"GC" "5-RA-LE" "SSX" "5"
"IN" "5-RA-LE" "PSY" "5"
"GC" "5-RA-LE" "NSA" "5"
"NA" "5-RA-LE" "SSX" "5"
"LE" "5-LE-BC" "UHL" "5"
"NA" "5-RA-LE" "NSA" "5"
"LE" "5-LE-BC" "PSY" "5"
"PR" "5-PR-RA" "HSC" "5"
"WB" "5-LE-BC" "UHL" "5"
"MA" "5-RA-LE" "SSX" "5"
"MA" "5-RA-LE" "NSA" "5"
"IO" "5-PR-RA" "HSC" "5"
"WB" "5-LE-BC" "PSY" "5"
"IN" "5-RA-LE" "SSX" "5"
"BC" "5-BC-MV" "UHL" "5"
"IN" "5-RA-LE" "NSA" "5"
"SN" "5-PR-RA" "HSC" "5"
"BC" "5-BC-MV" "PSY" "5"
"GO" "5-PR-RA" "HSC" "5"
"NB" "5-BC-MV" "PSY" "5"
"IR" "5-PR-RA" "HSC" "5"
"RA" "5-RA-LE" "HSC" "5"
"MQ" "5-RA-LE" "HSC" "5"
"GC" "5-RA-LE" "HSC" "5"
"NA" "5-RA-LE" "HSC" "5"
"MA" "5-RA-LE" "HSC" "5"
"IN" "5-RA-LE" "HSC" "5"
"PR" "5-PR-RA" "OSC" "5"
"LE" "5-LE-BC" "HSC" "5"
"IO" "5-PR-RA" "OSC" "5"
"WB" "5-LE-BC" "HSC" "5"
"SN" "5-PR-RA" "OSC" "5"
"BC" "5-BC-MV" "HSC" "5"
"GO" "5-PR-RA" "OSC" "5"
"NB" "5-BC-MV" "HSC" "5"
"IR" "5-PR-RA" "OSC" "5"
"RA" "5-RA-LE" "OSC" "5"
"MQ" "5-RA-LE" "OSC" "5"
"GC" "5-RA-LE" "OSC" "5"
"NA" "5-RA-LE" "OSC" "5"
"MA" "5-RA-LE" "OSC" "5"
"IN" "5-RA-LE" "OSC" "5"
"PR" "6-PR-LK" "CL" "6"
"PR" "6-PR-LK" "AWB" "6"
"PR" "6-PR-LK" "WCS" "6"
"PR" "6-PR-LK" "CHV" "6"
"PR" "6-PR-LK" "CDB" "6"
"PR" "6-PR-LK" "SYB" "6"
"PR" "6-PR-LK" "AHS" "6"
"PR" "6-PR-LK" "BHB" "6"
"PR" "6-PR-LK" "SCB" "6"
"PR" "6-PR-LK" "OSH" "6"
"PR" "6-PR-LK" "PCH" "6"
"PR" "6-PR-LK" "BCH" "6"
"PR" "6-PR-LK" "SH" "6"
"PR" "6-PR-LK" "SDB" "6"
"PR" "6-PR-LK" "KDB" "6"
"PR" "6-PR-LK" NA "6"
"PR" "6-PR-LK" "LSB" "6"
"HT" "6-PR-LK" "CDB" "6"
"HT" "6-PR-LK" "AWB" "6"
"HT" "6-PR-LK" "CL" "6"
"HT" "6-PR-LK" "WCS" "6"
"HT" "6-PR-LK" "CHV" "6"
"HT" "6-PR-LK" "SYB" "6"
"HT" "6-PR-LK" "AHS" "6"
"HT" "6-PR-LK" "BHB" "6"
"HT" "6-PR-LK" "SCB" "6"
"HT" "6-PR-LK" "OSH" "6"
"HT" "6-PR-LK" "PCH" "6"
"HT" "6-PR-LK" "BCH" "6"
"HT" "6-PR-LK" "SH" "6"
"HT" "6-PR-LK" "SDB" "6"
"HT" "6-PR-LK" "KDB" "6"
"HT" "6-PR-LK" "LSB" "6"
"HT" "6-PR-LK" NA "6"
"MN" "6-PR-LK" "CDB" "6"
"MN" "6-PR-LK" "AWB" "6"
"MN" "6-PR-LK" "CL" "6"
"MN" "6-PR-LK" "WCS" "6"
"MN" "6-PR-LK" "CHV" "6"
"MN" "6-PR-LK" "SYB" "6"
"MN" "6-PR-LK" "AHS" "6"
"MN" "6-PR-LK" "BHB" "6"
"MN" "6-PR-LK" "SCB" "6"
"MN" "6-PR-LK" "OSH" "6"
"MN" "6-PR-LK" "PCH" "6"
"MN" "6-PR-LK" "BCH" "6"
"MN" "6-PR-LK" "SH" "6"
"MN" "6-PR-LK" "SDB" "6"
"MN" "6-PR-LK" "KDB" "6"
"MN" "6-PR-LK" "LSB" "6"
"MN" "6-PR-LK" NA "6"
"SL" "6-PR-LK" "CDB" "6"
"SL" "6-PR-LK" "AWB" "6"
"SL" "6-PR-LK" "CL" "6"
"SL" "6-PR-LK" "WCS" "6"
"SL" "6-PR-LK" "CHV" "6"
"SL" "6-PR-LK" "SYB" "6"
"SL" "6-PR-LK" "AHS" "6"
"SL" "6-PR-LK" "BHB" "6"
"SL" "6-PR-LK" "SCB" "6"
"SL" "6-PR-LK" "OSH" "6"
"SL" "6-PR-LK" "PCH" "6"
"SL" "6-PR-LK" "BCH" "6"
"SL" "6-PR-LK" "SH" "6"
"SL" "6-PR-LK" "SDB" "6"
"SL" "6-PR-LK" "KDB" "6"
"SL" "6-PR-LK" "LSB" "6"
"SL" "6-PR-LK" NA "6"
"EG" "6-PR-LK" "CDB" "6"
"EG" "6-PR-LK" "AWB" "6"
"EG" "6-PR-LK" "CL" "6"
"EG" "6-PR-LK" "WCS" "6"
"EG" "6-PR-LK" "CHV" "6"
"EG" "6-PR-LK" "SYB" "6"
"EG" "6-PR-LK" "AHS" "6"
"EG" "6-PR-LK" "BHB" "6"
"EG" "6-PR-LK" "SCB" "6"
"EG" "6-PR-LK" "OSH" "6"
"EG" "6-PR-LK" "PCH" "6"
"EG" "6-PR-LK" "BCH" "6"
"EG" "6-PR-LK" "SH" "6"
"EG" "6-PR-LK" "SDB" "6"
"EG" "6-PR-LK" "KDB" "6"
"EG" "6-PR-LK" "LSB" "6"
"EG" "6-PR-LK" NA "6"
"LD" "6-PR-LK" "CDB" "6"
"LD" "6-PR-LK" "AWB" "6"
"LD" "6-PR-LK" "CL" "6"
"LD" "6-PR-LK" "WCS" "6"
"LD" "6-PR-LK" "CHV" "6"
"LD" "6-PR-LK" "SYB" "6"
"LD" "6-PR-LK" "AHS" "6"
"LD" "6-PR-LK" "BHB" "6"
"LD" "6-PR-LK" "SCB" "6"
"LD" "6-PR-LK" "OSH" "6"
"LD" "6-PR-LK" "PCH" "6"
"LD" "6-PR-LK" "BCH" "6"
"LD" "6-PR-LK" "SH" "6"
"LD" "6-PR-LK" "SDB" "6"
"LD" "6-PR-LK" "KDB" "6"
"LD" "6-PR-LK" "LSB" "6"
"LD" "6-PR-LK" NA "6"
"SH" "6-PR-LK" "CDB" "6"
"SH" "6-PR-LK" "AWB" "6"
"SH" "6-PR-LK" "CL" "6"
"SH" "6-PR-LK" "WCS" "6"
"SH" "6-PR-LK" "CHV" "6"
"SH" "6-PR-LK" "SYB" "6"
"SH" "6-PR-LK" "AHS" "6"
"SH" "6-PR-LK" "BHB" "6"
"SH" "6-PR-LK" "SCB" "6"
"SH" "6-PR-LK" "OSH" "6"
"SH" "6-PR-LK" "PCH" "6"
"SH" "6-PR-LK" "BCH" "6"
"SH" "6-PR-LK" "SH" "6"
"SH" "6-PR-LK" "SDB" "6"
"SH" "6-PR-LK" "KDB" "6"
"SH" "6-PR-LK" "LSB" "6"
"SH" "6-PR-LK" NA "6"
"LL" "6-PR-LK" "CDB" "6"
"LL" "6-PR-LK" "AWB" "6"
"LL" "6-PR-LK" "CL" "6"
"LL" "6-PR-LK" "WCS" "6"
"LL" "6-PR-LK" "CHV" "6"
"LL" "6-PR-LK" "SYB" "6"
"LL" "6-PR-LK" "AHS" "6"
"LL" "6-PR-LK" "BHB" "6"
"LL" "6-PR-LK" "SCB" "6"
"LL" "6-PR-LK" "OSH" "6"
"LL" "6-PR-LK" "PCH" "6"
"LL" "6-PR-LK" "BCH" "6"
"LL" "6-PR-LK" "SH" "6"
"LL" "6-PR-LK" "SDB" "6"
"LL" "6-PR-LK" "KDB" "6"
"LL" "6-PR-LK" "LSB" "6"
"LL" "6-PR-LK" NA "6"
"OW" "6-PR-LK" "CDB" "6"
"OW" "6-PR-LK" "AWB" "6"
"OW" "6-PR-LK" "CL" "6"
"OW" "6-PR-LK" "WCS" "6"
"OW" "6-PR-LK" "CHV" "6"
"OW" "6-PR-LK" "SYB" "6"
"OW" "6-PR-LK" "AHS" "6"
"OW" "6-PR-LK" "BHB" "6"
"OW" "6-PR-LK" "SCB" "6"
"OW" "6-PR-LK" "OSH" "6"
"OW" "6-PR-LK" "PCH" "6"
"OW" "6-PR-LK" "BCH" "6"
"OW" "6-PR-LK" "SH" "6"
"OW" "6-PR-LK" "SDB" "6"
"OW" "6-PR-LK" "KDB" "6"
"OW" "6-PR-LK" "LSB" "6"
"OW" "6-PR-LK" NA "6"
"MF" "6-PR-LK" "CDB" "6"
"MF" "6-PR-LK" "AWB" "6"
"MF" "6-PR-LK" "CL" "6"
"MF" "6-PR-LK" "WCS" "6"
"MF" "6-PR-LK" "CHV" "6"
"MF" "6-PR-LK" "SYB" "6"
"MF" "6-PR-LK" "AHS" "6"
"MF" "6-PR-LK" "BHB" "6"
"MF" "6-PR-LK" "SCB" "6"
"MF" "6-PR-LK" "OSH" "6"
"MF" "6-PR-LK" "PCH" "6"
"MF" "6-PR-LK" "BCH" "6"
"MF" "6-PR-LK" "SH" "6"
"MF" "6-PR-LK" "SDB" "6"
"MF" "6-PR-LK" "KDB" "6"
"MF" "6-PR-LK" "LSB" "6"
"MF" "6-PR-LK" NA "6"
"VP" "6-PR-LK" "CDB" "6"
"VP" "6-PR-LK" "AWB" "6"
"VP" "6-PR-LK" "CL" "6"
"VP" "6-PR-LK" "WCS" "6"
"VP" "6-PR-LK" "CHV" "6"
"VP" "6-PR-LK" "SYB" "6"
"VP" "6-PR-LK" "AHS" "6"
"VP" "6-PR-LK" "BHB" "6"
